服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PRV-SHCH-I-0042	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--同业存单	双向：Out-In	私有服务	PRV-RMBTS-I-0065	同业存单发行	SHCH-RMBTS-7-1	上清所发送给本币的同业存单发行服务合并至上清所发给货币及债务工具发行系统的同业存单发行服务			43.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0070	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--同业存单	单向：Out-Only	私有服务	PRV-ICDIS-I-0001	同业存单发行（交易流通）	SHCH-ICDIS-1	/			42.0	IMIX	上海清算所	货币及债务工具发行系统（原名：同业存单发行系统）
PRV-SHCH-I-0038	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--信用风险缓释凭证	双向：Out-In	私有服务	PRV-RMBTS-I-0061	信用风险缓释凭证发行	SHCH-RMBTS-1-1	/			44.0	IMIX	上海清算所	本币交易系统
PUB-SHCH-I-0001	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--资产支持证券	单向：Out-Only	公有服务		ABS发行	SHCH-RMBTS-5	/			/	IMIX	上海清算所	本币交易系统
PUB-CDC-I-0001	公共服务体系	产品数据	产品基础信息	产品相关	现券买卖流通量--国债登	单向：Out-Only	公有服务		CDC发送给本币交易系统的现券买卖流通量	CDC-RMBTS-1	/			/	IMIX	中央国债登记结算公司	本币交易系统
PUB-SHCH-I-0002	公共服务体系	产品数据	产品基础信息	计算类	债券付息信息--资产支持证券付息	单向：Out-Only	公有服务		ABS变动	SHCH-RMBTS-6	/			/	IMIX	上海清算所	本币交易系统
PUB-XTRADE-I-0019	公共服务体系	市场条件	场次数据	/	质押匿名点击场次信息	单向：Out-Only	公有服务		接口组-质押匿名点击场次信息发往监测系统	XTRADE-RMBMSS-Repo-6	/			/	IMIX	标准金融资产及衍生品交易系统	本币监测系统
PUB-FXTS-I-0023	公共服务体系	机构数据	会员权限信息	/	外汇竞价交易会员信息	单向：Out-Only	私有服务		竞价会员基础信息	FXTS-SHCH-9	/			/	IMIX	外汇交易系统	上海清算所
PUB-FXTS-I-0021	公共服务体系	机构数据	会员权限信息	/	外汇日终会员结算银行与保证金银行信息	单向：Out-Only	私有服务		日终发送结算银行与保证金银行全量信息	FXTS-SHCH-4	/			/	IMIX	外汇交易系统	上海清算所
PRV-FXTS-I-0022	公共服务体系	机构数据	会员权限信息	/	外汇日终询价交易会员信息	双向：Out-In	私有服务	PRV-SHCH-I-0050	日终发送询价净额清算会员全量信息	FXTS-SHCH-2	/			45.0	IMIX	外汇交易系统	上海清算所
PRV-SHCH-I-0050	公共服务体系	机构数据	会员权限信息	/	外汇日终询价交易会员信息反馈	单向：Out-Only	私有服务	PRV-FXTS-I-0022	日终批量发送询价净额清算会员信息核对结果	FXTS-SHCH-2-R	/			45.0	IMIX	上海清算所	外汇交易系统
PUB-SHCH-I-0005	公共服务体系	机构数据	会员权限信息	/	债券交易净额清算资质机构名单	单向：Out-Only	私有服务		债券交易净额清算-净额清算资质机构名单	SHCH-RMBTS-12	/			/	IMIX	上海清算所	本币交易系统
PRV-CFAT-I-0001	公共服务体系	机构数据	机构基础信息	/	北金所交易会员信息	单向：Out-Only	私有服务	PRV-RMBTS-I-0075	北金所机构会员基础数据	CFAT-RMBTS-1	/			/	IMIX	北金所	本币交易系统
