原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
债券台－现券买卖双向双价格单数量报价	ICAP-BMS-13	报价信息	现券买卖双向双价格单数量报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
利率互换市场-（浮动）浮动一次点击成交报价	RMBTS-CMDS-7-5	报价信息	利率互换(浮动)浮动互换点击成交报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-本方（浮动）浮动对话报价	RMBTS-CSTP-7-6	报价信息	利率互换(浮动)浮动互换对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换（IRS）双边报价—基准互换	RMBTS-SHIBOR-4	报价信息	利率互换(浮动)浮动互换双向报价	公有服务	单向：Out-Only	本币给shibor、CMDS系统的利率互换(浮动)浮动互换双向报价服务合并	/	核心交易体系	本币交易系统	上海银行间同业拆放利率系统
利率互换市场-（浮动）浮动双向报价	RMBTS-CMDS-7-6	报价信息	利率互换(浮动)浮动互换双向报价	公有服务	单向：Out-Only	本币给shibor、CMDS系统的利率互换(浮动)浮动互换双向报价服务合并	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-（浮动）浮动意向报价	RMBTS-CMDS-7-4	报价信息	利率互换(浮动)浮动意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-（固定）浮动一次点击成交报价	RMBTS-CMDS-7-2	报价信息	利率互换(固定)浮动点击成交报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-本方（固定）浮动对话报价	RMBTS-CSTP-7-2	报价信息	利率互换(固定)浮动对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-（固定）浮动双向报价	RMBTS-CMDS-7-3	报价信息	利率互换(固定)浮动双向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-（固定）浮动意向报价	RMBTS-CMDS-7-1	报价信息	利率互换(固定)浮动意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
利率互换市场-关联机构（浮动）浮动点击成交报价	RMBTS-CSTP-21-7	报价信息	利率互换关联机构(浮动)浮动点击成交报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（浮动）浮动对话报价	RMBTS-CSTP-21-6	报价信息	利率互换关联机构(浮动)浮动对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（浮动）浮动双向报价	RMBTS-CSTP-21-8	报价信息	利率互换关联机构(浮动)浮动双向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
